Mes,Saldo Anterior,Bono Mensual,Interés,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
1,0.0,3750.0,27.0,0.0,-4.0,3773.0
2,3773.0,3750.0,54.0,0.0,-8.0,7569.0
3,7569.0,3750.0,81.0,-103.0,-11.0,11286.0
4,11286.0,3750.0,108.0,0.0,-15.0,15129.0
5,15129.0,3750.0,136.0,0.0,-19.0,18996.0
6,18996.0,3750.0,164.0,-206.0,-23.0,22681.0
7,22681.0,3750.0,190.0,0.0,-27.0,26594.0
8,26594.0,3750.0,218.0,0.0,-31.0,30531.0
9,30531.0,3750.0,247.0,-311.0,-35.0,34182.0
10,34182.0,3750.0,273.0,0.0,-38.0,38167.0
11,38167.0,3750.0,302.0,0.0,-42.0,42177.0
12,42177.0,3750.0,331.0,-416.0,-46.0,45796.0
13,45796.0,0.0,357.0,0.0,-46.0,46107.0
14,46107.0,0.0,332.0,0.0,-46.0,46393.0
15,46393.0,0.0,334.0,-421.0,-47.0,46259.0
16,46259.0,0.0,333.0,0.0,-47.0,46545.0
17,46545.0,0.0,335.0,0.0,-47.0,46833.0
18,46833.0,0.0,337.0,-425.0,-47.0,46698.0
19,46698.0,0.0,336.0,0.0,-47.0,46987.0
20,46987.0,0.0,338.0,0.0,-47.0,47278.0
21,47278.0,0.0,340.0,-429.0,-48.0,47141.0
22,47141.0,0.0,339.0,0.0,-47.0,47433.0
23,47433.0,0.0,342.0,0.0,-48.0,47727.0
24,47727.0,0.0,344.0,-433.0,-48.0,47590.0
25,47590.0,0.0,343.0,0.0,-48.0,47885.0
26,47885.0,0.0,345.0,0.0,-48.0,48182.0
27,48182.0,0.0,347.0,-437.0,-49.0,48043.0
28,48043.0,0.0,346.0,0.0,-48.0,48341.0
29,48341.0,0.0,348.0,0.0,-49.0,48640.0
30,48640.0,0.0,350.0,-441.0,-49.0,48500.0
31,48500.0,0.0,349.0,0.0,-49.0,48800.0
32,48800.0,0.0,351.0,0.0,-49.0,49102.0
33,49102.0,0.0,354.0,-445.0,-49.0,48962.0
34,48962.0,0.0,353.0,0.0,-49.0,49266.0
35,49266.0,0.0,355.0,0.0,-50.0,49571.0
36,49571.0,0.0,357.0,-449.0,-50.0,49429.0
37,49429.0,0.0,356.0,0.0,-50.0,49735.0
38,49735.0,0.0,358.0,0.0,-50.0,50043.0
39,50043.0,0.0,360.0,-454.0,-50.0,49899.0
40,49899.0,0.0,359.0,0.0,-50.0,50208.0
41,50208.0,0.0,361.0,0.0,-51.0,50518.0
42,50518.0,0.0,364.0,-458.0,-51.0,50373.0
43,50373.0,0.0,363.0,0.0,-51.0,50685.0
44,50685.0,0.0,365.0,0.0,-51.0,50999.0
45,50999.0,0.0,367.0,-462.0,-51.0,50853.0
46,50853.0,0.0,366.0,0.0,-51.0,51168.0
47,51168.0,0.0,368.0,0.0,-52.0,51484.0
48,51484.0,0.0,371.0,-467.0,-52.0,51336.0
49,51336.0,0.0,370.0,0.0,-52.0,51654.0
50,51654.0,0.0,372.0,0.0,-52.0,51974.0
51,51974.0,0.0,374.0,-471.0,-52.0,51825.0
52,51825.0,0.0,373.0,0.0,-52.0,52146.0
53,52146.0,0.0,375.0,0.0,-53.0,52468.0
54,52468.0,0.0,378.0,-476.0,-53.0,52317.0
55,52317.0,0.0,377.0,0.0,-53.0,52641.0
56,52641.0,0.0,379.0,0.0,-53.0,52967.0
57,52967.0,0.0,381.0,-480.0,-53.0,52815.0
58,52815.0,0.0,380.0,0.0,-53.0,53142.0
59,53142.0,0.0,383.0,0.0,-54.0,53471.0
60,53471.0,0.0,385.0,-485.0,-54.0,53317.0
61,53317.0,0.0,384.0,0.0,-54.0,53647.0
62,53647.0,0.0,386.0,0.0,-54.0,53979.0
63,53979.0,0.0,389.0,-489.0,-54.0,53825.0
64,53825.0,0.0,388.0,0.0,-54.0,54159.0
65,54159.0,0.0,390.0,0.0,-55.0,54494.0
66,54494.0,0.0,392.0,-494.0,-55.0,54337.0
67,54337.0,0.0,391.0,0.0,-55.0,54673.0
68,54673.0,0.0,394.0,0.0,-55.0,55012.0
69,55012.0,0.0,396.0,-499.0,-55.0,54854.0
70,54854.0,0.0,395.0,0.0,-55.0,55194.0
71,55194.0,0.0,397.0,0.0,-56.0,55535.0
72,55535.0,0.0,400.0,-503.0,-56.0,55376.0
73,55376.0,0.0,399.0,0.0,-56.0,55719.0
74,55719.0,0.0,401.0,0.0,-56.0,56064.0
75,56064.0,0.0,404.0,-508.0,-56.0,55904.0
76,55904.0,0.0,403.0,0.0,-56.0,56251.0
77,56251.0,0.0,405.0,0.0,-57.0,56599.0
78,56599.0,0.0,408.0,-513.0,-57.0,56437.0
79,56437.0,0.0,406.0,0.0,-57.0,56786.0
80,56786.0,0.0,409.0,0.0,-57.0,57138.0
81,57138.0,0.0,411.0,-518.0,-58.0,56973.0
82,56973.0,0.0,410.0,0.0,-57.0,57326.0
83,57326.0,0.0,413.0,0.0,-58.0,57681.0
84,57681.0,0.0,415.0,-523.0,-58.0,57515.0
85,57515.0,0.0,414.0,0.0,-58.0,57871.0
86,57871.0,0.0,417.0,0.0,-58.0,58230.0
87,58230.0,0.0,419.0,-528.0,-59.0,58062.0
88,58062.0,0.0,418.0,0.0,-58.0,58422.0
89,58422.0,0.0,421.0,0.0,-59.0,58784.0
90,58784.0,0.0,423.0,-533.0,-59.0,58615.0
91,58615.0,0.0,422.0,0.0,-59.0,58978.0
92,58978.0,0.0,425.0,0.0,-59.0,59344.0
93,59344.0,0.0,427.0,-538.0,-60.0,59173.0
94,59173.0,0.0,426.0,0.0,-60.0,59539.0
95,59539.0,0.0,429.0,0.0,-60.0,59908.0
96,59908.0,0.0,431.0,-543.0,-60.0,59736.0
97,59736.0,0.0,430.0,0.0,-60.0,60106.0
98,60106.0,0.0,433.0,0.0,-61.0,60478.0
99,60478.0,0.0,435.0,-548.0,-61.0,60304.0
100,60304.0,0.0,434.0,0.0,-61.0,60677.0
101,60677.0,0.0,437.0,0.0,-61.0,61053.0
102,61053.0,0.0,440.0,-553.0,-61.0,60879.0
103,60879.0,0.0,438.0,0.0,-61.0,61256.0
104,61256.0,0.0,441.0,0.0,-62.0,61635.0
105,61635.0,0.0,444.0,-559.0,-62.0,61458.0
106,61458.0,0.0,442.0,0.0,-62.0,61838.0
107,61838.0,0.0,445.0,0.0,-62.0,62221.0
108,62221.0,0.0,448.0,-564.0,-63.0,62042.0
109,62042.0,0.0,447.0,0.0,-62.0,62427.0
110,62427.0,0.0,449.0,0.0,-63.0,62813.0
111,62813.0,0.0,452.0,-569.0,-63.0,62633.0
112,62633.0,0.0,451.0,0.0,-63.0,63021.0
113,63021.0,0.0,454.0,0.0,-63.0,63412.0
114,63412.0,0.0,457.0,-575.0,-64.0,63230.0
115,63230.0,0.0,455.0,0.0,-64.0,63621.0
116,63621.0,0.0,458.0,0.0,-64.0,64015.0
117,64015.0,0.0,461.0,-580.0,-64.0,63832.0
118,63832.0,0.0,460.0,0.0,-64.0,64228.0
119,64228.0,0.0,462.0,0.0,-65.0,64625.0
120,64625.0,0.0,465.0,-586.0,-65.0,64439.0
121,64439.0,0.0,464.0,0.0,-65.0,64838.0
122,64838.0,0.0,467.0,0.0,-65.0,65240.0
123,65240.0,0.0,470.0,-591.0,-66.0,65053.0
124,65053.0,0.0,468.0,0.0,-66.0,65455.0
125,65455.0,0.0,471.0,0.0,-66.0,65860.0
