Mes,Saldo Anterior,Aportación,Bono,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
1,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0.0,0.0,0,0.0,0.0,0,0.0,0.0
5,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,0.0,0.0,0,0.0,0.0,0,0.0,0.0
7,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,0.0,0.0,0,0.0,0.0,0,0.0,0.0
10,0.0,0.0,0,0.0,0.0,0,0.0,0.0
11,0.0,0.0,0,0.0,0.0,0,0.0,0.0
12,0.0,0.0,0,0.0,0.0,0,0.0,0.0
13,0.0,0.0,0,0.0,0.0,0,0.0,0.0
14,0.0,0.0,0,0.0,0.0,0,0.0,0.0
15,0.0,0.0,0,0.0,0.0,0,0.0,0.0
16,0.0,0.0,0,0.0,0.0,0,0.0,0.0
17,0.0,0.0,0,0.0,0.0,0,0.0,0.0
18,0.0,0.0,0,0.0,0.0,0,0.0,0.0
19,0.0,5249.5,0,42.0,-131.0,0,-6.0,5154.5
20,5154.5,5249.5,0,83.0,-131.0,0,-12.0,10344.0
21,10344.0,5249.5,0,125.0,-131.0,0,-18.0,15569.5
22,15569.5,5249.5,0,167.0,-131.0,0,-24.0,20831.0
23,20831.0,5249.5,0,209.0,-131.0,0,-30.0,26128.5
24,26128.5,5249.5,0,251.0,-131.0,0,-37.0,31461.0
25,31461.0,5249.5,0,294.0,-138.0,0,-43.0,36823.5
26,36823.5,5511.45005,0,339.0,-138.0,0,-49.0,42486.95005
27,42486.95005,5511.45005,0,384.0,-138.0,0,-56.0,48188.4001
28,48188.4001,5511.45005,0,430.0,-138.0,0,-63.0,53928.85015
29,53928.85015,5511.45005,0,476.0,-138.0,0,-69.0,59709.3002
30,59709.3002,5511.45005,0,522.0,-138.0,0,-76.0,65528.75025
31,65528.75025,5511.45005,0,568.0,-138.0,0,-83.0,71387.2003
32,71387.2003,5511.45005,0,615.0,-138.0,0,-90.0,77285.65035
33,77285.65035,5511.45005,0,662.0,-138.0,0,-97.0,83224.1004
34,83224.1004,5511.45005,0,710.0,-138.0,0,-104.0,89203.55045
35,89203.55045,5511.45005,0,758.0,-138.0,0,-111.0,95224.0005
36,95224.0005,5511.45005,0,806.0,-138.0,0,-118.0,101285.45055
37,101285.45055,5511.45005,0,854.0,-145.0,0,-125.0,107380.9006
38,107380.9006,5786.471407495001,0,905.0,-145.0,0,-132.0,113795.372007495
39,113795.372007495,5786.471407495001,0,957.0,-145.0,0,-140.0,120253.84341499
40,120253.84341499,5786.471407495001,0,1008.0,-145.0,0,-147.0,126756.314822485
41,126756.314822485,5786.471407495001,0,1060.0,-145.0,0,-155.0,133302.78622998
42,133302.78622998,5786.471407495001,0,1113.0,-145.0,0,-162.0,139895.257637475
43,139895.257637475,5786.471407495001,0,1165.0,-145.0,0,-170.0,146531.72904497
44,146531.72904497,5786.471407495001,0,1219.0,-145.0,0,-178.0,153214.200452465
45,153214.200452465,5786.471407495001,0,1272.0,-145.0,0,-186.0,159941.67185996
46,159941.67185996,5786.471407495001,0,1326.0,-145.0,0,-194.0,166715.14326745502
47,166715.14326745502,5786.471407495001,0,1380.0,-145.0,0,-202.0,173534.61467495002
48,173534.61467495002,5786.471407495001,0,1435.0,-145.0,0,-210.0,180401.08608244502
49,180401.08608244502,5786.471407495001,0,1490.0,-152.0,0,-218.0,187307.55748994002
50,187307.55748994002,6075.216330729001,0,1547.0,-152.0,0,-226.0,194551.773820669
51,194551.773820669,6075.216330729001,0,1605.0,-152.0,0,-234.0,201845.990151398
52,201845.990151398,6075.216330729001,0,1663.0,-152.0,0,-243.0,209189.206482127
53,209189.206482127,6075.216330729001,0,1722.0,-152.0,0,-252.0,216582.42281285598
54,216582.42281285598,6075.216330729001,0,1781.0,-152.0,0,-260.0,224026.63914358497
55,224026.63914358497,6075.216330729001,0,1841.0,-152.0,0,-269.0,231521.85547431395
56,231521.85547431395,6075.216330729001,0,1901.0,-152.0,0,-278.0,239068.07180504294
57,239068.07180504294,6075.216330729001,0,1961.0,-152.0,0,-286.0,246666.28813577193
58,246666.28813577193,6075.216330729001,0,2022.0,-152.0,0,-295.0,254316.50446650092
59,254316.50446650092,6075.216330729001,0,2083.0,-152.0,0,-304.0,262018.7207972299
60,262018.7207972299,6075.216330729001,0,2145.0,-152.0,0,-313.0,269773.9371279589
61,269773.9371279589,6075.216330729001,0,2207.0,-159.0,0,-322.0,277575.15345868794
62,277575.15345868794,6378.369625632378,0,2272.0,-159.0,0,-332.0,285734.5230843203
63,285734.5230843203,6378.369625632378,0,2337.0,-159.0,0,-341.0,293949.89270995266
64,293949.89270995266,6378.369625632378,0,2403.0,-159.0,0,-351.0,302221.262335585
65,302221.262335585,6378.369625632378,0,2469.0,-159.0,0,-361.0,310548.6319612174
66,310548.6319612174,6378.369625632378,0,2535.0,-159.0,0,-370.0,318933.00158684974
67,318933.00158684974,6378.369625632378,0,2602.0,-159.0,0,-380.0,327374.3712124821
68,327374.3712124821,6378.369625632378,0,2670.0,-159.0,0,-390.0,335873.74083811446
69,335873.74083811446,6378.369625632378,0,2738.0,-159.0,0,-400.0,344431.1104637468
70,344431.1104637468,6378.369625632378,0,2806.0,-159.0,0,-410.0,353046.4800893792
71,353046.4800893792,6378.369625632378,0,2875.0,-159.0,0,-420.0,361720.84971501154
72,361720.84971501154,6378.369625632378,0,2945.0,-159.0,0,-430.0,370455.2193406439
73,370455.2193406439,6378.369625632378,0,3015.0,-167.0,0,-440.0,379241.58896627626
74,379241.58896627626,6696.650269951434,0,3088.0,-167.0,0,-451.0,388408.2392362277
75,388408.2392362277,6696.650269951434,0,3161.0,-167.0,0,-462.0,397636.88950617914
