Mes,Saldo Anterior,Aportación,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
1,0.0,5000.0,40.0,-500,0.0,-5.0,4535.0
2,4535.0,5000.0,76.0,0,0.0,-11.0,9600.0
3,9600.0,5000.0,117.0,0,-152.0,-17.0,14548.0
4,14548.0,5000.0,156.0,0,0.0,-23.0,19681.0
5,19681.0,5000.0,197.0,0,0.0,-29.0,24849.0
6,24849.0,5000.0,239.0,0,-312.0,-35.0,29741.0
7,29741.0,5000.0,278.0,0,0.0,-41.0,34978.0
8,34978.0,5000.0,320.0,0,0.0,-47.0,40251.0
9,40251.0,5000.0,362.0,0,-472.0,-53.0,45088.0
10,45088.0,5000.0,401.0,0,0.0,-59.0,50430.0
11,50430.0,5000.0,443.0,0,0.0,-65.0,55808.0
12,55808.0,5000.0,486.0,0,-635.0,-71.0,60588.0
13,60588.0,5250.0,527.0,0,0.0,-77.0,66288.0
14,66288.0,5250.0,572.0,0,0.0,-84.0,72026.0
15,72026.0,5250.0,618.0,0,-807.0,-90.0,76997.0
16,76997.0,5250.0,658.0,0,0.0,-96.0,82809.0
17,82809.0,5250.0,704.0,0,0.0,-103.0,88660.0
18,88660.0,5250.0,751.0,0,-980.0,-110.0,93571.0
19,93571.0,0.0,749.0,0,0.0,-109.0,94211.0
20,94211.0,0.0,754.0,0,0.0,-110.0,94855.0
21,94855.0,0.0,759.0,0,-990.0,-111.0,94513.0
22,94513.0,0.0,756.0,0,0.0,-111.0,95158.0
23,95158.0,0.0,761.0,0,0.0,-111.0,95808.0
24,95808.0,0.0,766.0,0,-1000.0,-112.0,95462.0
25,95462.0,0.0,764.0,0,0.0,-112.0,96114.0
26,96114.0,0.0,769.0,0,0.0,-112.0,96771.0
27,96771.0,0.0,774.0,0,-1010.0,-113.0,96422.0
28,96422.0,0.0,771.0,0,0.0,-113.0,97080.0
29,97080.0,0.0,777.0,0,0.0,-114.0,97743.0
30,97743.0,0.0,782.0,0,-1020.0,-114.0,97391.0
31,97391.0,0.0,779.0,0,0.0,-114.0,98056.0
32,98056.0,0.0,784.0,0,0.0,-115.0,98725.0
33,98725.0,0.0,790.0,0,-1031.0,-115.0,98369.0
34,98369.0,0.0,787.0,0,0.0,-115.0,99041.0
35,99041.0,0.0,792.0,0,0.0,-116.0,99717.0
36,99717.0,0.0,798.0,0,-1041.0,-117.0,99357.0
37,99357.0,0.0,795.0,0,0.0,-116.0,100036.0
38,100036.0,0.0,800.0,0,0.0,-117.0,100719.0
39,100719.0,0.0,806.0,0,-1052.0,-118.0,100355.0
40,100355.0,0.0,803.0,0,0.0,-117.0,101041.0
41,101041.0,0.0,808.0,0,0.0,-118.0,101731.0
42,101731.0,0.0,814.0,0,-1062.0,-119.0,101364.0
43,101364.0,0.0,811.0,0,0.0,-119.0,102056.0
44,102056.0,0.0,816.0,0,0.0,-119.0,102753.0
45,102753.0,0.0,822.0,0,-1073.0,-120.0,102382.0
46,102382.0,0.0,819.0,0,0.0,-120.0,103081.0
47,103081.0,0.0,825.0,0,0.0,-121.0,103785.0
48,103785.0,0.0,830.0,0,-1084.0,-121.0,103410.0
49,103410.0,0.0,827.0,0,0.0,-121.0,104116.0
50,104116.0,0.0,833.0,0,0.0,-122.0,104827.0
51,104827.0,0.0,839.0,0,-1094.0,-123.0,104449.0
52,104449.0,0.0,836.0,0,0.0,-122.0,105163.0
53,105163.0,0.0,841.0,0,0.0,-123.0,105881.0
54,105881.0,0.0,847.0,0,-1105.0,-124.0,105499.0
55,105499.0,0.0,844.0,0,0.0,-123.0,106220.0
56,106220.0,0.0,850.0,0,0.0,-124.0,106946.0
57,106946.0,0.0,856.0,0,-1117.0,-125.0,106560.0
58,106560.0,0.0,852.0,0,0.0,-125.0,107287.0
59,107287.0,0.0,858.0,0,0.0,-125.0,108020.0
60,108020.0,0.0,864.0,0,-1128.0,-126.0,107630.0
61,107630.0,0.0,861.0,0,0.0,-126.0,108365.0
62,108365.0,0.0,867.0,0,0.0,-127.0,109105.0
63,109105.0,0.0,873.0,0,-1139.0,-128.0,108711.0
64,108711.0,0.0,870.0,0,0.0,-127.0,109454.0
65,109454.0,0.0,876.0,0,0.0,-128.0,110202.0
66,110202.0,0.0,882.0,0,-1151.0,-129.0,109804.0
67,109804.0,0.0,878.0,0,0.0,-128.0,110554.0
68,110554.0,0.0,884.0,0,0.0,-129.0,111309.0
69,111309.0,0.0,890.0,0,-1162.0,-130.0,110907.0
70,110907.0,0.0,887.0,0,0.0,-130.0,111664.0
71,111664.0,0.0,893.0,0,0.0,-131.0,112426.0
72,112426.0,0.0,899.0,0,-1174.0,-131.0,112020.0
73,112020.0,0.0,896.0,0,0.0,-131.0,112785.0
74,112785.0,0.0,902.0,0,0.0,-132.0,113555.0
75,113555.0,0.0,908.0,0,-1186.0,-133.0,113144.0
76,113144.0,0.0,905.0,0,0.0,-132.0,113917.0
77,113917.0,0.0,911.0,0,0.0,-133.0,114695.0
78,114695.0,0.0,918.0,0,-1197.0,-134.0,114282.0
79,114282.0,0.0,914.0,0,0.0,-134.0,115062.0
80,115062.0,0.0,920.0,0,0.0,-135.0,115847.0
81,115847.0,0.0,927.0,0,-1209.0,-135.0,115430.0
82,115430.0,0.0,923.0,0,0.0,-135.0,116218.0
83,116218.0,0.0,930.0,0,0.0,-136.0,117012.0
84,117012.0,0.0,936.0,0,-1222.0,-137.0,116589.0
85,116589.0,0.0,933.0,0,0.0,-136.0,117386.0
86,117386.0,0.0,939.0,0,0.0,-137.0,118188.0
87,118188.0,0.0,946.0,0,-1234.0,-138.0,117762.0
88,117762.0,0.0,942.0,0,0.0,-138.0,118566.0
